id,community,airport,region,coordinates,runway,community
YPK,"Pitt Meadows","Pitt Meadows Airport",2,"49\u00b012\u203258\u2033N122\u00b042\u203236\u2033W",1524,junco
YCW,Chilliwack,"Chilliwack Airport",2,"49\u00b009\u203210\u2033N121\u00b056\u203220\u2033W",1215,dove
ZMH,"108 Mile Ranch","South Cariboo Regional Airport (108 Mile Ranch Airport)",3,"51\u00b044\u203210\u2033N121\u00b019\u203258\u2033W",1613,zipper
YYF,Penticton,"Penticton Regional Airport",8,"49\u00b027\u203245\u2033N119\u00b036\u203208\u2033W",1829,warbler

